Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1005473,OLDCASTLE STONE PRODUCTS,LEE,MA,01238,110 MARBLE ST,42.30079,-73.25084,"5,501.60","5,488.80",4.75,8.05,"3,645.80",
1001717,OLIN CORPORATION - WINCHESTER,EAST ALTON,IL,62024,600 POWDER MILL ROAD,38.89613,-90.10056,"27,172.55","27,144.30",12.75,15.50,"27,172.55",
1002320,OLINDA ALPHA LANDFILL,BREA,CA,92823,1942 VALENCIA AVE,33.9378,-117.8375,"328,762.00",,"328,762.00",,,
1006033,OLMSTED COUNTY - KALMAR LANDFILL,ROCHESTER,MN,55901,7401 19TH STREET NORTHWEST,44.043444,-92.583806,"23,313.00",,"23,313.00",,,
1005528,OLMSTED WASTE-TO-ENERGY FACILITY,ROCHESTER,MN,55906,301 SILVER CREEK RD NE,44.026536,-92.4291,"37,041.05","35,234.00",704.75,"1,102.30","37,041.05",
1001971,OLS ENERGY CHINO,CHINO,CA,91708,5601 EUCALYPTUS AVE.,33.989444,-117.681111,"109,035.84","108,923.50",51.25,61.09,"109,035.84",
1003586,OLYMPIC VIEW SANITARY LANDFILL INC,PORT ORCHARD,WA,98367,10015 SOUTHWEST BARNEY WHITE ROAD,47.50473,-122.78081,"7,733.63",,"7,733.63",,,
1000209,OMEGA JV2 Bowling Green,Bowling Green,OH,43402,811 East Poe Rd,41.3883,-83.6406,655.85,655.30,0.25,0.30,,655.85
1006507,OMEGA JV2 Hamilton,Hamilton,OH,45015,8040 North Gilmore Road,39.3528,-84.5183,711.45,710.90,0.25,0.30,,711.45
1002356,ONE EARTH ENERGY LLC,GIBSON CITY,IL,60936,202 N JORDAN DR,40.46872,-88.39593,"161,212.33","161,042.90",76.75,92.68,"161,212.33",
1004715,ONEOK Bushton Plant,Bushton,KS,67427,777 Avenue Y,38.52177,-98.351255,"204,409.98","204,199.00",96.25,114.73,"204,409.98",
1006772,ONONDAGA CO RESOURCE RECOVERY FACILITY,JAMESVILLE,NY,13078,5801 ROCK CUT ROAD,43.004785,-76.11473,"137,764.55","130,867.00","2,725.25","4,172.30","137,764.55",
1001953,ONSLOW COUNTY LANDFILL,JACKSONVILLE,NC,28540,415 MEADOWVIEW ROAD,34.79804,-77.53781,"112,030.00",,"112,030.00",,,
1005257,ONTARIO CO LANDFILL,STANLEY,NY,14561,1879 ST RTE 5 & 20,42.855605,-77.090566,"158,236.60",191.10,"158,045.50",,191.10,
1008215,ORANGE COUNTY LANDFILL,ORLANDO,FL,32829,5901 YOUNG PINE RD,28.48079,-81.21875,"345,813.75",,"345,813.75",,,
1007397,ORANGE COUNTY LANDFILL,ORANGE,VA,22960,"11530 PORTOR ROAD, RTE 635",38.245727,-78.033871,"30,779.50",,"30,779.50",,,
1002684,ORCHARD HILL SANITARY LANDFILL,WATERVLIET,MI,49098,3290 HENNESEY ROAD,42.17142,-86.281258,"34,930.13",59.40,"34,860.00",10.73,74.63,
1006876,ORCHARD RIDGE LANDFILL & MRF,MENOMONEE FALLS,WI,53051,W 124 N 9355 BOUNDARY RD,43.149,-88.1221,"178,836.15","11,146.82","167,473.70",215.63,"11,455.67",
1004658,OREGON STATE UNIVERSITY,CORVALLIS,OR,97331,100 Oak Creek Building,44.564272,-123.278594,"34,974.12","34,923.40",16.75,33.97,"34,974.12",
